GEOID,population,density,nonwhite,college,unemployment,income,gini,uninsured
27141,93231,79.81668604815142,0.9269449003014019,0.12770430436228294,0.02997819397175406,37592,0.3699,0.02900298141003157
27143,14912,9.585533235055538,0.959026287553648,0.0862392703862661,0.028043683429958204,32492,0.4063,0.04605396632176912
27145,156819,43.55699313410289,0.8877623247183059,0.11634432052238568,0.04594439940870726,29135,0.4302,0.03801834438106983
27147,36676,32.75559245228752,0.90786890609663,0.11459810230123241,0.03712680401013551,33946,0.4055,0.034922471012696576
27149,9784,6.566253488690519,0.9238552739165985,0.1186631234668847,0.02447980416156671,26646,0.493,0.020214521452145213
27151,9411,4.8310439382009305,0.9494208904473489,0.09828923600042504,0.029119638826185103,29328,0.4576,0.04512168856342882
27153,24440,9.635647194737228,0.9464402618657938,0.08003273322422258,0.030511347584518317,27374,0.4108,0.08852878113145307
27155,3337,2.199019488773769,0.9223853760863051,0.08840275696733593,0.02040816326530612,30152,0.4292,0.02708525700215451
27157,21500,15.106161211957575,0.9621860465116279,0.10674418604651163,0.03222137983320698,33478,0.4109,0.049812382739212006
27159,13646,9.698365778978014,0.9572768576872344,0.06697933460354683,0.05280701754385965,25686,0.423,0.05930363159865219
27161,18809,16.774459408696437,0.9325322983678026,0.09819767132755595,0.03549891910342474,30357,0.4175,0.030531346640427327
27163,253317,231.21226205683843,0.8595633139505047,0.1867028268927865,0.029467549749912048,42690,0.4176,0.02987218210549477
27165,10973,9.633381484339541,0.8554634101886448,0.08056137792764058,0.026305379746835444,30403,0.4328,0.1199741792696422
27167,6343,3.2604049519250613,0.9404067475957749,0.13306006621472488,0.014686248331108143,31111,0.4498,0.0333709495405449
27169,50847,30.600546404514546,0.9357484217357956,0.120341416406081,0.036251808972503616,26161,0.4415,0.05486521894477748
27171,132745,71.76686002232604,0.9458812007985234,0.1321782364684169,0.032164846654275096,37825,0.3863,0.032731103263258406
27173,9868,4.991060354243436,0.921868666396433,0.08431293068504256,0.030039181541140617,29446,0.4162,0.05628285743737759
28001,31547,24.9850584137364,0.40517323358797985,0.07414334168066694,0.10354973424449507,17812,0.5368,0.14817757816548627
28003,37180,35.74778636933008,0.8496234534696073,0.06896180742334589,0.09003088650851022,21580,0.4411,0.15332896031485732
28005,12468,6.5807317351425825,0.5739493102341996,0.05951235162014758,0.08160504959422904,19293,0.4923,0.15088996763754045
28007,18581,9.738528502561348,0.5395834454550347,0.06151445024487379,0.10888629055831628,19728,0.5054,0.11064295485636115
28009,8253,7.79697633096137,0.6128680479825518,0.03974312371258936,0.0739247311827957,23750,0.4742,0.15881561238223418
28011,32592,13.894037464561844,0.3314617083946981,0.09137211585665193,0.10729727344921909,17353,0.5149,0.14634910686305233
28013,14571,9.571976670958191,0.6548623979136641,0.04069727541006108,0.0712966383450314,21143,0.4339,0.11876781864960712
28015,10129,6.162385296885756,0.643992496791391,0.06831868891302202,0.10762203825292606,22091,0.4489,0.08441232560473753
28017,17279,13.228875041585589,0.524509520226865,0.06099890039932866,0.059113300492610835,21526,0.4621,0.140348802837718
28019,8321,7.652231686519977,0.6767215478908785,0.07511116452349477,0.07889672867222579,18967,0.4432,0.08468578401464308
28021,9120,7.027565477249308,0.1168859649122807,0.058771929824561406,0.15997229916897507,15489,0.4934,0.16271373414230558
28023,15928,8.868584024455352,0.6349196383726771,0.05468357609241587,0.08381946576604236,21582,0.4762,0.09328546233308138
28025,19808,18.381148858525346,0.3960521001615509,0.08855008077544427,0.1193715982187036,21664,0.4919,0.11224855402569484
28027,23802,15.757562704429953,0.21208301823376186,0.07070834383665238,0.17860513896171998,17594,0.5193,0.12867913276824125
28029,28721,14.228220547839268,0.4542669127119529,0.06834720239545977,0.10836383111666519,22007,0.4556,0.14677261271352562
28031,19091,17.764389116915492,0.6105494735739354,0.06830443664553978,0.0901758561417427,19859,0.4355,0.1407261917400998
28033,176132,136.8549345641354,0.6803420162151114,0.10617604978084619,0.05718505289188075,31692,0.4052,0.08947990341308033
28035,75517,62.009413133436766,0.5945813525431359,0.10077201160003708,0.10382913895643513,19998,0.4891,0.1415926840664842
28037,7757,5.283451876150409,0.6350393193244811,0.07477117442310172,0.06840148698884758,22953,0.4643,0.1108939275475632
28039,23710,18.922756720311074,0.893504850274146,0.04723745255166596,0.09450800915331808,23553,0.4442,0.15441303223582142
28041,13714,7.366603187891625,0.7331194399883331,0.04462592970686889,0.08813392417528311,21855,0.4116,0.13028996865203762
28043,21278,18.284778469265817,0.5515555973305761,0.08384246639721778,0.06950035519772674,21741,0.4787,0.12078933537197191
28045,46653,37.106544631517906,0.8725912588686687,0.10507362870554948,0.07630439265828005,26186,0.4495,0.14397088277733508
28047,202626,132.62909929571822,0.6814969451106966,0.09305814653598254,0.09400647455772387,25390,0.4581,0.15833358973570044
28049,241774,106.38571604283193,0.2569713865014435,0.10906879978823199,0.09209428547853273,24419,0.4732,0.12445401157808941
